codigo,nombre,precio,texto,categoria,subcategoria
18328,"Kirkland Signature, Nueces de la India 1.1 kg", $499.00,"
		                    .........................................................................................................Las nueces de la India son un producto con calidad premium de Kirkland Signature. Están envasados en frascos de plástico prácticos para conservarlos fuera de la humedad desde el transporte hasta que se abren en casa. Se asan con aceite de cacahuate y sal buscando el punto óptimo para su sabor. Es un producto Kosher ya que para su elaboración se respeta los preceptos de la religión judía. Se consideran ideales para botana o para cocinar.
 
		                    ",Abarrotes-y-Bebidas,Botanas-y-Dulces
601380,"Café Gourmet Molido, Kirkland Signature, 100% Mexicano, 1 kg", $149.00,"
		                    .........................................................................................................El mejor café, cosechado, tostado y disfrutado en México.En lo alto de las montañas de Chiapas se encuentran las ricas cafetaleras en donde se siembra unos de los cafés más finos del mundo. Por generaciones se ha trabajado para producir café de especialidad, galardonado y apreciado en diversas regiones del mundo.

Tostado: Medio 
	Molido
	Aroma: Dulce, Chocolate, Vainilla, Nuez, Almendra
	Retrogusto: Bueno
	Cuerpo: Bueno, Cremoso
Un delicioso café dulce, con notas caramelizadas a chocolate y nuez, con aroma a avellana y vainilla único, y un cremoso cuerpo.  

100% café Arabica de México

Preparación:
Use aproximadamente una cucharada copeteada por cada 100ml de agua. Ajuste al gusto y disfrute una deliciosa taza de café.
		                    ",Abarrotes-y-Bebidas,Cafe-y-Te
942108,Champagne Kirkland Signature Brut 750ml, $649.00,"
		                    El Champagne Brut de la marca Kirkland Signature proviene de los viñedos de Chardonnay, Pinot Noir y Pinot Meunier en Sezanne de Roland de Bruyne y Manuel Janisson. Uva: Chardonnay, Pinot Noir y Pinot MeunierNotas de Cata:Boca: Tiene un gran rango de sabores con una rica textura y notas de jengibre, naranjas y duraznos más un luminoso carácter cítrico que queda al final.Maridaje: Aperitivos o cualquier marisco, pescado o postre. Temperatura de degustación: 6 a 8° C
		                    ",Abarrotes-y-Bebidas,Vinos
611095,"Café de Grano Entero, Kirkland Signature, Colombia, 1 kg", $169.00,"
		                    .........................................................................................................Café Gourmet de Colombia 100% Arábica.

Los granos de este café colombiano crecen cerca de Medellín en sierras con más de 1,800 metros de altura arriba de Concordia en fincas de café de pequeños productores. Con 2.5 metros de lluvia y un perfecto balance de temperatura y humedad, Concordia produce el mejor café de Colombia. Estas condiciones únicas nos permiten obtener una taza ligeramente dulce, con viveza y notas cítricas brillantes. Es un café de tostado medio con intensos sabores y un término balanceado. 

Este Café Kirkland Signature crece en fincas de café localizadas en gran altitud y están protegidas por las condiciones de la selva tropical. Trabajamos con pequeños productores quienes son muy dedicados y capaces de cumplir con nuestros altos estándares de calidad para desarrollar un café delicioso, usando métodos de producción sustentables. 

Notas de Catación

Aroma: Dulce y Floral.
	Sabor: Dulce, Notas a Chocolate, Nueces y Toques Afrutados.
	Retrogusto: Prolongado
	Cuerpo: Completo.
 

.
		                    ",Abarrotes-y-Bebidas,Cafe-y-Te
632330,"Leche de Coco Natural Calahua, 6 Piezas de 1L", $219.00,"
		                    .........................................................................................................Alimento liquido de Coco Bebible.

Apariencia: Liquido cremoso de color blanco a ligeramente beige con olor y sabor característico a coco.
	Color: Blanco a ligeramente beige.
	Sabor: Lechoso con notas acentuadas sabor coco.
	Olor: Característico a coco y exento de notas desviadas.
	Sin azúcar, libre de lactosa y gluten.
	25 calorías por porción.
	Producto Kosher.
	Sin colorantes, aromatizantes ni colorantes artificiales.
	100% mexicano.
",Abarrotes-y-Bebidas,Leche-y-Sustitutos
635628,Zaaté Kombucha Té Verde Tisana Limonada Jengibre Chía 1 kg, $279.00,"
		                    .........................................................................................................Té verde Kombucha tisana limonada jengibre chía.

ZAA TÉ® Tisana es una excelente opción para disfrutar del sabor, los beneficios y la versatilidad de preparar un té en cualquier momento del día. Estos productos combinan a la perfección ingredientes 100% naturales como extracto de té, llevándote a experimentar un delicioso sabor inigualable.

Este sabor no es todo... con esta bebida aprovecharás al mismo tiempo los beneficios de las diversas variedades de té. Disfrútalo a cualquier hora del día y a la temperatura que más te guste; caliente o frío.

Desde la antigüedad en China se disfrutaba de los beneficios de la bebida fermentada KOMBUCHA que ahora ZAA TÉ® trae para ti con sus innumerables propiedades y un delicioso sabor a limón y jengibre.
INGREDIENTES

Azúcar, chía (7.5%), ácido cítrico, maltodextrina, mezcla de extractos 1.8% (Té verde 1.3%, Kombucha 0.5%), jugo de limón 1.5%, citrato de sodio, colorantes (caramelo, rojo 40), saborizantes, dióxido de silicio, stevia (90mg/100g), aceite esencial de jengibre 0.06%, probióticos (Lactobacillus acidophilus).
 
		                    ",Abarrotes-y-Bebidas,Cafe-y-Te
103518,"Clorox, toallas desinfectantes 4 piezas con 78 toallitas cada una", $399.00,"
		                    Clorox® toallitas desinfectantes: Características  Desinfectar y defender su hogar de forma rápida y convenientemente - en tan sólo 1 toallita!Mata 99,999% de los gérmenes que viven en las superficiesMata 99,999% de los virus y las bacterias del hogar, incluyendo E-Coli, MRSA, estafilococo, estreptococo, Salmonella *Fórmula de secado rapido trabaja en una variedad de superficiesPaquete de cuatro (4) latas de 78-ct (312 toallitas en total): 2-Citrus Blend, 1-aroma fresco, 1-Naranja Fusión.  Aveces limpiar no es suficiente - por eso Clorox® Disinfecting Wipes están hechas para matar 99,999% de los virus y las bacterias , incluyendo los estafilococos, E. coli, Salmonella y Strep. Clorox® Disinfecting Wipes le dará la potencia de múltiples tareas en una sola y conveniente pasada: listo para atacar múltiples superficies y múltiples líos en toda su casa.       Mantenga todas las superficies de su casa limpias y desinfectadas. Clorox® Disinfecting Wipes son adecuados para su uso en la mayoría de las superficies duras, no porosas. Clorox® Disinfecting Wipes una fórmula única de secado rapido que los hace especialmente eficaz para la limpieza y desinfección de superficies brillantes como mesas de cristal, espejos y accesorios de metal. Y si bien es suave en superficies, Clorox® Toallitas Desinfectantes son fuerte contra la grasa, la suciedad y los residuos de jabón - dejando su casa limpia, sano y brillante! 
		                    ",Hogar-y-Bano,Productos-de-Limpieza
637587,"Leche Deslactosada Light, Kirkland Signature 12 Piezas de 1L", $219.00,"
		                    .........................................................................................................Leche deslactosada light ultrapasteurizada adicionada con vitaminas A y D.

Sin hormonas añadidas.
	Kosher.
	10 gramos / litro de agua.
 

 
		                    ",Abarrotes-y-Bebidas,Leche-y-Sustitutos
625076,"OKF Bebida de áloe vera sin azúcar, 10 de 500 ml", $349.00,"
		                    .........................................................................................................Bebida refrescante

20% de Sábila/Aloe Vera ( 13% en Jugo y 7% en pulpa),  planta reconocida por sus beneficios.

Contiene vitaminas A y B, C,E, tambien contiene minerales como el hierro, magnesio, zinc, calcio, sodio, potasio.

Ayuda a reducir los niveles de colesterol.

Auxiliar en problemas digestivos.               

No contiene Azúcar.   

Tómese frío.


 
		                    ",Abarrotes-y-Bebidas,Bebidas
644635,"Sangría sin alcohol, 4 botellas de 1 L", $519.00,"
		                    Singría

Producto sin alcohol
	Presentación de 4 botellas de 1 litro
",Abarrotes-y-Bebidas,Vinos
